Latitude,Longitude,Date,Amount
57.145859,-2.101296,18/07/2019,511
57.145859,-2.101296,18/07/2019,563
57.145859,-2.101296,18/07/2019,553
57.145859,-2.101296,18/07/2019,473
57.145859,-2.101296,18/07/2019,600
57.145859,-2.101296,18/07/2019,469
57.145859,-2.101296,18/07/2019,557
57.145859,-2.101296,18/07/2019,641
57.145859,-2.101296,18/07/2019,753
57.145859,-2.101296,18/07/2019,757
57.145859,-2.101296,18/07/2019,746
57.145859,-2.101296,18/07/2019,767
57.145859,-2.101296,18/07/2019,851
57.145859,-2.101296,18/07/2019,866
57.145859,-2.101296,18/07/2019,654
57.145859,-2.101296,18/07/2019,436
57.145859,-2.101296,18/07/2019,386
57.145859,-2.101296,18/07/2019,415
57.145859,-2.101296,18/07/2019,478
57.145859,-2.101296,18/07/2019,437
57.145859,-2.101296,18/07/2019,330
57.145859,-2.101296,18/07/2019,371
57.145859,-2.101296,18/07/2019,349
57.145859,-2.101296,18/07/2019,342
57.145859,-2.101296,18/07/2019,291
57.145859,-2.101296,18/07/2019,322
57.145859,-2.101296,18/07/2019,286
57.145859,-2.101296,18/07/2019,296
57.145859,-2.101296,18/07/2019,269
57.145859,-2.101296,18/07/2019,274
57.145859,-2.101296,18/07/2019,279
57.145859,-2.101296,18/07/2019,267
57.145859,-2.101296,18/07/2019,254
57.145859,-2.101296,18/07/2019,183
57.145859,-2.101296,18/07/2019,147
57.145859,-2.101296,18/07/2019,194
57.145859,-2.101296,18/07/2019,183
57.145859,-2.101296,18/07/2019,271
57.145859,-2.101296,18/07/2019,218
57.145859,-2.101296,19/07/2019,112
57.145859,-2.101296,19/07/2019,181
57.145859,-2.101296,19/07/2019,117
57.145859,-2.101296,19/07/2019,85
57.145859,-2.101296,19/07/2019,99
57.145859,-2.101296,19/07/2019,82
57.145859,-2.101296,19/07/2019,99
57.145859,-2.101296,19/07/2019,79
57.145859,-2.101296,19/07/2019,84
57.145859,-2.101296,19/07/2019,37
57.145859,-2.101296,19/07/2019,75
57.145859,-2.101296,19/07/2019,54
57.145859,-2.101296,19/07/2019,38
57.145859,-2.101296,19/07/2019,49
57.145859,-2.101296,19/07/2019,76
57.145859,-2.101296,19/07/2019,53
57.145859,-2.101296,19/07/2019,51
57.145859,-2.101296,19/07/2019,43
57.145859,-2.101296,19/07/2019,97
57.145859,-2.101296,19/07/2019,130
57.145859,-2.101296,19/07/2019,59
57.145859,-2.101296,19/07/2019,163
57.145859,-2.101296,19/07/2019,122
57.145859,-2.101296,19/07/2019,158
57.145859,-2.101296,19/07/2019,222
