Site,Day,Date,StartTime,EndTime,Amount
57.145859,-2.101296,14/07/2019,05:00,05:15,99
57.145859,-2.101296,14/07/2019,05:15,05:30,155
57.145859,-2.101296,14/07/2019,05:30,05:45,137
57.145859,-2.101296,14/07/2019,05:45,06:00,83
57.145859,-2.101296,14/07/2019,06:00,06:15,135
57.145859,-2.101296,14/07/2019,06:15,06:30,73
57.145859,-2.101296,14/07/2019,06:30,06:45,123
57.145859,-2.101296,14/07/2019,06:45,07:00,100
57.145859,-2.101296,14/07/2019,07:00,07:15,104
57.145859,-2.101296,14/07/2019,07:15,07:30,108
57.145859,-2.101296,14/07/2019,07:30,07:45,89
57.145859,-2.101296,14/07/2019,07:45,08:00,110
57.145859,-2.101296,14/07/2019,08:00,08:15,119
57.145859,-2.101296,14/07/2019,08:15,08:30,120
57.145859,-2.101296,14/07/2019,08:30,08:45,144
57.145859,-2.101296,14/07/2019,08:45,09:00,148
57.145859,-2.101296,14/07/2019,09:00,09:15,185
57.145859,-2.101296,14/07/2019,09:15,09:30,232
57.145859,-2.101296,14/07/2019,09:30,09:45,196
57.145859,-2.101296,14/07/2019,09:45,10:00,214
57.145859,-2.101296,14/07/2019,10:00,10:15,258
57.145859,-2.101296,14/07/2019,10:15,10:30,286
57.145859,-2.101296,14/07/2019,10:30,10:45,350
57.145859,-2.101296,14/07/2019,10:45,11:00,367
57.145859,-2.101296,14/07/2019,11:00,11:15,272
57.145859,-2.101296,14/07/2019,11:15,11:30,321
57.145859,-2.101296,14/07/2019,11:30,11:45,347
57.145859,-2.101296,14/07/2019,11:45,12:00,390
57.145859,-2.101296,14/07/2019,12:00,12:15,371
57.145859,-2.101296,14/07/2019,12:15,12:30,409
57.145859,-2.101296,14/07/2019,12:30,12:45,474
57.145859,-2.101296,14/07/2019,12:45,13:00,427
57.145859,-2.101296,14/07/2019,13:00,13:15,392
57.145859,-2.101296,14/07/2019,13:15,13:30,471
57.145859,-2.101296,14/07/2019,13:30,13:45,324
57.145859,-2.101296,14/07/2019,13:45,14:00,405
57.145859,-2.101296,14/07/2019,14:00,14:15,419
57.145859,-2.101296,14/07/2019,14:15,14:30,413
57.145859,-2.101296,14/07/2019,14:30,14:45,370
57.145859,-2.101296,14/07/2019,14:45,15:00,461
57.145859,-2.101296,14/07/2019,15:00,15:15,430
57.145859,-2.101296,14/07/2019,15:15,15:30,476
57.145859,-2.101296,14/07/2019,15:30,15:45,403
57.145859,-2.101296,14/07/2019,15:45,16:00,375
57.145859,-2.101296,14/07/2019,16:00,16:15,335
57.145859,-2.101296,14/07/2019,16:15,16:30,413
57.145859,-2.101296,14/07/2019,16:30,16:45,340
57.145859,-2.101296,14/07/2019,16:45,17:00,380
57.145859,-2.101296,14/07/2019,17:00,17:15,410
57.145859,-2.101296,14/07/2019,17:15,17:30,334
57.145859,-2.101296,14/07/2019,17:30,17:45,385
57.145859,-2.101296,14/07/2019,17:45,18:00,304
57.145859,-2.101296,14/07/2019,18:00,18:15,294
57.145859,-2.101296,14/07/2019,18:15,18:30,350
57.145859,-2.101296,14/07/2019,18:30,18:45,294
57.145859,-2.101296,14/07/2019,18:45,19:00,308
57.145859,-2.101296,14/07/2019,19:00,19:15,278
57.145859,-2.101296,14/07/2019,19:15,19:30,322
57.145859,-2.101296,14/07/2019,19:30,19:45,250
57.145859,-2.101296,14/07/2019,19:45,20:00,398
57.145859,-2.101296,14/07/2019,20:00,20:15,259
57.145859,-2.101296,14/07/2019,20:15,20:30,325
57.145859,-2.101296,14/07/2019,20:30,20:45,241
57.145859,-2.101296,14/07/2019,20:45,21:00,254
