Site,Day,Date,StartTime,EndTime,Flow
N01171A,TH,17-10-2019,21:00,21:15,321
N01171A,TH,17-10-2019,21:15,21:30,333
N01171A,TH,17-10-2019,21:30,21:45,272
N01171A,TH,17-10-2019,21:45,22:00,374
N01171A,TH,17-10-2019,22:00,22:15,267
N01171A,TH,17-10-2019,22:15,22:30,254
N01171A,TH,17-10-2019,22:30,22:45,190
N01171A,TH,17-10-2019,22:45,23:00,173
N01171A,TH,17-10-2019,23:00,23:15,160
N01171A,TH,17-10-2019,23:15,23:30,166
N01171A,TH,17-10-2019,23:30,23:45,183
N01171A,TH,17-10-2019,23:45,24:00,117
N01171A,FR,18-10-2019,00:00,00:15,112
N01171A,FR,18-10-2019,00:15,00:30,108
N01171A,FR,18-10-2019,00:30,00:45,108
N01171A,FR,18-10-2019,00:45,01:00,85
N01171A,FR,18-10-2019,01:00,01:15,75
N01171A,FR,18-10-2019,01:15,01:30,63
N01171A,FR,18-10-2019,01:30,01:45,78
N01171A,FR,18-10-2019,01:45,02:00,88
N01171A,FR,18-10-2019,02:00,02:15,93
N01171A,FR,18-10-2019,02:15,02:30,106
N01171A,FR,18-10-2019,02:30,02:45,67
N01171A,FR,18-10-2019,02:45,03:00,92
N01171A,FR,18-10-2019,03:00,03:15,88
N01171A,FR,18-10-2019,03:15,03:30,118
N01171A,FR,18-10-2019,03:30,03:45,46
N01171A,FR,18-10-2019,03:45,04:00,60
N01171A,FR,18-10-2019,04:00,04:15,71
N01171A,FR,18-10-2019,04:15,04:30,53
N01171A,FR,18-10-2019,04:30,04:45,33
N01171A,FR,18-10-2019,04:45,05:00,91
N01171A,FR,18-10-2019,05:00,05:15,71
N01171A,FR,18-10-2019,05:15,05:30,100
N01171A,FR,18-10-2019,05:30,05:45,114
N01171A,FR,18-10-2019,05:45,06:00,108
N01171A,FR,18-10-2019,06:00,06:15,150
N01171A,FR,18-10-2019,06:15,06:30,194
N01171A,FR,18-10-2019,06:30,06:45,306
N01171A,FR,18-10-2019,06:45,07:00,268
N01171A,FR,18-10-2019,07:00,07:15,248
N01171A,FR,18-10-2019,07:15,07:30,395
N01171A,FR,18-10-2019,07:30,07:45,454
N01171A,FR,18-10-2019,07:45,08:00,477
N01171A,FR,18-10-2019,08:00,08:15,454
N01171A,FR,18-10-2019,08:15,08:30,520
N01171A,FR,18-10-2019,08:30,08:45,557
N01171A,FR,18-10-2019,08:45,09:00,413
N01171A,FR,18-10-2019,09:00,09:15,327
N01171A,FR,18-10-2019,09:15,09:30,399
N01171A,FR,18-10-2019,09:30,09:45,370
N01171A,FR,18-10-2019,09:45,10:00,439
N01171A,FR,18-10-2019,10:00,10:15,383
N01171A,FR,18-10-2019,10:15,10:30,435
N01171A,FR,18-10-2019,10:30,10:45,433
N01171A,FR,18-10-2019,10:45,11:00,390
N01171A,FR,18-10-2019,11:00,11:15,373
N01171A,FR,18-10-2019,11:15,11:30,304
N01171A,FR,18-10-2019,11:30,11:45,445
N01171A,FR,18-10-2019,11:45,12:00,553
N01171A,FR,18-10-2019,12:00,12:15,659
N01171A,FR,18-10-2019,12:15,12:30,513
N01171A,FR,18-10-2019,12:30,12:45,549
N01171A,FR,18-10-2019,12:45,13:00,557
N01171A,FR,18-10-2019,13:00,13:15,521
N01171A,FR,18-10-2019,13:15,13:30,478
N01171A,FR,18-10-2019,13:30,13:45,492
N01171A,FR,18-10-2019,13:45,14:00,456
N01171A,FR,18-10-2019,14:00,14:15,512
N01171A,FR,18-10-2019,14:15,14:30,575
N01171A,FR,18-10-2019,14:30,14:45,749
N01171A,FR,18-10-2019,14:45,15:00,634
N01171A,FR,18-10-2019,15:00,15:15,518
N01171A,FR,18-10-2019,15:15,15:30,578
N01171A,FR,18-10-2019,15:30,15:45,442
N01171A,FR,18-10-2019,15:45,16:00,457
N01171A,FR,18-10-2019,16:00,16:15,587
N01171A,FR,18-10-2019,16:15,16:30,573
N01171A,FR,18-10-2019,16:30,16:45,494
N01171A,FR,18-10-2019,16:45,17:00,502
N01171A,FR,18-10-2019,17:00,17:15,522
N01171A,FR,18-10-2019,17:15,17:30,541
N01171A,FR,18-10-2019,17:30,17:45,600
N01171A,FR,18-10-2019,17:45,18:00,504
N01171A,FR,18-10-2019,18:00,18:15,406
N01171A,FR,18-10-2019,18:15,18:30,499
N01171A,FR,18-10-2019,18:30,18:45,533
N01171A,FR,18-10-2019,18:45,19:00,412
N01171A,FR,18-10-2019,19:00,19:15,476
N01171A,FR,18-10-2019,19:15,19:30,521
N01171A,FR,18-10-2019,19:30,19:45,468
N01171A,FR,18-10-2019,19:45,20:00,446
N01171A,FR,18-10-2019,20:00,20:15,399
N01171A,FR,18-10-2019,20:15,20:30,385
N01171A,FR,18-10-2019,20:30,20:45,410
