Site,Day,Date,StartTime,EndTime,Flow
N01171A,FR,31-07-2020,04:30,04:45,22
N01171A,FR,31-07-2020,04:45,05:00,41
N01171A,FR,31-07-2020,05:00,05:15,25
N01171A,FR,31-07-2020,05:15,05:30,51
N01171A,FR,31-07-2020,05:30,05:45,23
N01171A,FR,31-07-2020,05:45,06:00,83
N01171A,FR,31-07-2020,06:00,06:15,63
N01171A,FR,31-07-2020,06:15,06:30,47
N01171A,FR,31-07-2020,06:30,06:45,78
N01171A,FR,31-07-2020,06:45,07:00,96
N01171A,FR,31-07-2020,07:00,07:15,83
N01171A,FR,31-07-2020,07:15,07:30,125
N01171A,FR,31-07-2020,07:30,07:45,128
N01171A,FR,31-07-2020,07:45,08:00,113
N01171A,FR,31-07-2020,08:00,08:15,161
N01171A,FR,31-07-2020,08:15,08:30,169
N01171A,FR,31-07-2020,08:30,08:45,107
N01171A,FR,31-07-2020,08:45,09:00,127
N01171A,FR,31-07-2020,09:00,09:15,128
N01171A,FR,31-07-2020,09:15,09:30,138
N01171A,FR,31-07-2020,09:30,09:45,152
N01171A,FR,31-07-2020,09:45,10:00,149
N01171A,FR,31-07-2020,10:00,10:15,135
N01171A,FR,31-07-2020,10:15,10:30,137
N01171A,FR,31-07-2020,10:30,10:45,200
N01171A,FR,31-07-2020,10:45,11:00,136
N01171A,FR,31-07-2020,11:00,11:15,137
N01171A,FR,31-07-2020,11:15,11:30,161
N01171A,FR,31-07-2020,11:30,11:45,156
N01171A,FR,31-07-2020,11:45,12:00,187
N01171A,FR,31-07-2020,12:00,12:15,156
N01171A,FR,31-07-2020,12:15,12:30,149
N01171A,FR,31-07-2020,12:30,12:45,206
N01171A,FR,31-07-2020,12:45,13:00,249
N01171A,FR,31-07-2020,13:00,13:15,165
N01171A,FR,31-07-2020,13:15,13:30,171
N01171A,FR,31-07-2020,13:30,13:45,232
N01171A,FR,31-07-2020,13:45,14:00,236
N01171A,FR,31-07-2020,14:00,14:15,235
N01171A,FR,31-07-2020,14:15,14:30,231
N01171A,FR,31-07-2020,14:30,14:45,177
N01171A,FR,31-07-2020,14:45,15:00,216
N01171A,FR,31-07-2020,15:00,15:15,179
N01171A,FR,31-07-2020,15:15,15:30,225
N01171A,FR,31-07-2020,15:30,15:45,213
N01171A,FR,31-07-2020,15:45,16:00,222
N01171A,FR,31-07-2020,16:00,16:15,147
N01171A,FR,31-07-2020,16:15,16:30,200
N01171A,FR,31-07-2020,16:30,16:45,181
N01171A,FR,31-07-2020,16:45,17:00,166
N01171A,FR,31-07-2020,17:00,17:15,180
N01171A,FR,31-07-2020,17:15,17:30,194
N01171A,FR,31-07-2020,17:30,17:45,190
N01171A,FR,31-07-2020,17:45,18:00,218
N01171A,FR,31-07-2020,18:00,18:15,179
N01171A,FR,31-07-2020,18:15,18:30,135
N01171A,FR,31-07-2020,18:30,18:45,148
N01171A,FR,31-07-2020,18:45,19:00,159
N01171A,FR,31-07-2020,19:00,19:15,141
N01171A,FR,31-07-2020,19:15,19:30,185
N01171A,FR,31-07-2020,19:30,19:45,133
N01171A,FR,31-07-2020,19:45,20:00,135
N01171A,FR,31-07-2020,20:00,20:15,155
N01171A,FR,31-07-2020,20:15,20:30,154
N01171A,FR,31-07-2020,20:30,20:45,119
N01171A,FR,31-07-2020,20:45,21:00,110
N01171A,FR,31-07-2020,21:00,21:15,117
N01171A,FR,31-07-2020,21:15,21:30,107
N01171A,FR,31-07-2020,21:30,21:45,211
N01171A,FR,31-07-2020,21:45,22:00,180
N01171A,FR,31-07-2020,22:00,22:15,170
N01171A,FR,31-07-2020,22:15,22:30,112
N01171A,FR,31-07-2020,22:30,22:45,138
N01171A,FR,31-07-2020,22:45,23:00,147
N01171A,FR,31-07-2020,23:00,23:15,90
N01171A,FR,31-07-2020,23:15,23:30,99
N01171A,FR,31-07-2020,23:30,23:45,79
N01171A,FR,31-07-2020,23:45,24:00,128
N01171A,SA,01-08-2020,00:00,00:15,104
N01171A,SA,01-08-2020,00:15,00:30,44
N01171A,SA,01-08-2020,00:30,00:45,68
N01171A,SA,01-08-2020,00:45,01:00,97
N01171A,SA,01-08-2020,01:00,01:15,66
N01171A,SA,01-08-2020,01:15,01:30,58
N01171A,SA,01-08-2020,01:30,01:45,60
N01171A,SA,01-08-2020,01:45,02:00,68
N01171A,SA,01-08-2020,02:00,02:15,49
N01171A,SA,01-08-2020,02:15,02:30,38
N01171A,SA,01-08-2020,02:30,02:45,34
N01171A,SA,01-08-2020,02:45,03:00,46
N01171A,SA,01-08-2020,03:00,03:15,28
N01171A,SA,01-08-2020,03:15,03:30,20
N01171A,SA,01-08-2020,03:30,03:45,23
N01171A,SA,01-08-2020,03:45,04:00,25
N01171A,SA,01-08-2020,04:00,04:15,27
N01171A,SA,01-08-2020,04:15,04:30,22
N01171A,SA,01-08-2020,04:30,04:45,11
N01171A,SA,01-08-2020,04:45,05:00,10
N01171A,SA,01-08-2020,05:00,05:15,53
N01171A,SA,01-08-2020,05:15,05:30,18
N01171A,SA,01-08-2020,05:30,05:45,17
N01171A,SA,01-08-2020,05:45,06:00,58
N01171A,SA,01-08-2020,06:00,06:15,49
N01171A,SA,01-08-2020,06:15,06:30,52
N01171A,SA,01-08-2020,06:30,06:45,58
N01171A,SA,01-08-2020,06:45,07:00,63
N01171A,SA,01-08-2020,07:00,07:15,34
N01171A,SA,01-08-2020,07:15,07:30,39
N01171A,SA,01-08-2020,07:30,07:45,72
N01171A,SA,01-08-2020,07:45,08:00,79
N01171A,SA,01-08-2020,08:00,08:15,77
N01171A,SA,01-08-2020,08:15,08:30,92
N01171A,SA,01-08-2020,08:30,08:45,78
